nama_bapak,nama_ibu,nomor_rumah,jarak_rumah
Adikara Irawan S.Pt,Yessi Nadine Hartati S.T.,120,1191
Adikara Jaya Pradipta S.H.,Ade Pratiwi,121,1202
Adikara Kurniawan S.Psi,Clara Rahimah S.I.Kom,122,1206
Adikara Maryadi,Queen Maryati,123,1211
Adikara Megantara,Elisa Puti Purwanti,124,1225
Adikara Nababan,Usyi Handayani,125,1229
Adikara Okta Pradana S.Ked,Ani Pia Wahyuni S.Ked,126,1247
Adikara Pradana,Lidya Prastuti,127,1257
Adikara Pradipta,Titi Yulianti,128,1259
Adikara Prayoga,Rika Vera Kusmawati,129,1271
Adikara Simbolon,Farah Safitri,130,1286
Adikara Situmorang S.Kom,Ade Lailasari,131,1294
Adikara Suryono M.Farm,Nadine Hassanah S.E.,132,1296
Adikara Tirta Marpaung,Keisha Cici Hariyah,133,1297
Adikara Wacana,Ellis Hartati,134,1303
Adikara Winarno,Winda Nasyidah,135,1315
Adinata Cemplunk Prayoga S.H.,Tina Humaira Permata S.Pt,136,1325
Adinata Dono Mansur S.Gz,Dalima Febi Utami,137,1333
Adinata Gunarto,Septi Lailasari,138,1341
Adinata Gunawan,Hesti Uli Zulaika,139,1347
Adinata Hutapea S.Farm,Zamira Diah Anggraini,140,1364
Adinata Kuswoyo,Ghaliyati Padmasari,141,1377
Adinata Maulana,Rika Aisyah Rahayu,142,1392
Adinata Pandu Hakim,Julia Novi Purwanti S.Sos,143,1412
Adinata Pradana,Siti Indah Rahayu,144,1413
Adinata Pradipta S.E.,Hamima Wulandari,145,1424
Adinata Pranowo M.Farm,Kayla Malika Yuniar,146,1426
Adinata Respati Permadi,Rahmi Nadine Permata,147,1439
Adinata Santoso,Kezia Anita Mulyani S.I.Kom,148,1452
Adinata Situmorang,Kamila Yulianti S.H.,149,1472
Adinata Tampubolon,Kamila Fitriani Aryani S.Farm,150,1480
Adinata Taufan Hakim,Tantri Riyanti S.Kom,151,1498
Adinata Taufik Anggriawan M.Farm,Nilam Genta Nurdiyanti S.Psi,152,1510
Adinata Wasita,Jasmin Andriani,153,1525
Aditya Dodo Manullang S.H.,Lintang Hassanah S.T.,154,1540
Aditya Emas Putra,Devi Namaga,155,1551
Aditya Halim S.E.I,Bella Rahayu M.Pd,156,1561
Aditya Harsanto Hutagalung S.Kom,Nabila Pertiwi M.Farm,157,1577
Aditya Ivan Waluyo,Lala Dalima Laksmiwati,158,1583
Aditya Jagapati Irawan S.IP,Endah Halimah,159,1584
Aditya Jagaraga Saefullah,Victoria Prastuti,160,1594
Aditya Jailani,Wani Titin Farida M.Kom.,161,1609
Aditya Kacung Latupono,Victoria Padma Purwanti S.Farm,162,1618
Aditya Lanang Tampubolon M.TI.,Vanesa Hariyah,163,1619
Aditya Marpaung,Ghaliyati Suci Kusmawati S.IP,164,1626
Aditya Nainggolan,Ilsa Nabila Pudjiastuti S.Pt,165,1643
Aditya Nugroho,Yunita Wastuti,166,1653
Aditya Oman Hutasoit,Hasna Padma Riyanti S.Gz,167,1659
Aditya Omar Saefullah,Devi Astuti M.Ak,168,1670
Aditya Pangestu,Ika Purwanti,169,1682
Aditya Pradipta,Keisha Pratiwi,170,1701
Aditya Prasetya,Rahayu Almira Hasanah M.Ak,171,1719
Aditya Prasetyo,Anita Hassanah S.Ked,172,1733
Aditya Suwarno,Elisa Aryani S.E.,173,1743
Aditya Wahyudin,Irma Elisa Padmasari,174,1762
Agus Aditya Manullang,Usyi Lailasari,175,1779
Agus Cakrawala Setiawan S.I.Kom,Icha Farida,176,1797
Agus Dabukke,Kartika Susanti,177,1812
Agus Dabukke S.Pt,Cindy Tami Hartati S.Sos,178,1832
Agus Emil Firgantoro S.Farm,Julia Vicky Novitasari,179,1834
Agus Firgantoro,Kezia Namaga,180,1853
Agus Gada Marbun,Dina Lestari,181,1871
Agus Jailani,Yuni Laksmiwati S.Ked,182,1889
Agus Lazuardi S.Farm,Cici Puti Winarsih,183,1895
Agus Manullang,Bella Oni Zulaika S.H.,184,1914
Agus Nababan,Mutia Natalia Lailasari,185,1928
Agus Pradana,Indah Wijayanti,186,1944
Agus Prayitna Napitupulu S.Sos,Puspa Yuniar,187,1960
Agus Saefullah S.Kom,Dewi Kusmawati,188,1979
Agus Simbolon,Juli Pratiwi S.E.I,189,1993
Agus Sitorus S.E.,Eka Oktaviani,190,1994
Agus Taswir Prakasa S.Psi,Ika Lestari S.I.Kom,191,1997
Agus Uwais,Yulia Wirda Halimah M.M.,192,2014
Agus Waluyo,Uli Hariyah,193,2031
Ajiman Balidin Lazuardi,Victoria Permata,194,2048
Ajiman Cakrajiya Prasetya S.I.Kom,Sadina Ika Melani,195,2059
Ajiman Cakrajiya Siregar S.Pd,Humaira Salsabila Usada S.H.,196,2067
Ajiman Cakrawangsa Prasetya,Aisyah Padmasari,197,2078
Ajiman Cakrawangsa Tarihoran S.Kom,Ana Halimah,198,2089
Ajiman Cemani Maryadi,Silvia Hafshah Agustina S.Kom,199,2093
Ajiman Dongoran,Jasmin Rina Pertiwi S.E.,200,2109
Ajiman Emong Nugroho S.E.I,Mala Purwanti,201,2125
Ajiman Hutapea,Tiara Safitri S.IP,202,2144
Ajiman Ibun Megantara S.Sos,Anastasia Mayasari,203,2151
Ajiman Kenzie Waskita,Victoria Mulyani,204,2157
Ajiman Opan Waskita,Zulfa Mayasari,205,2174
Ajiman Prabowo,Maya Yolanda,206,2186
Ajiman Saragih,Janet Wijayanti,207,2204
Ajiman Tamba,Uli Sabrina Yolanda,208,2216
Ajiman Tamba S.Kom,Hana Hassanah,209,2224
Ajiman Wibisono,Kasiyah Rahmawati,210,2225
Ajiman Wibowo M.Pd,Zaenab Rahmawati M.M.,211,2226
Ajimat Ajiono Winarno S.Kom,Queen Namaga,212,2238
Ajimat Asmadi Hidayanto S.Farm,Karimah Ira Mulyani,213,2241
Ajimat Dadap Nababan S.Psi,Laila Winarsih S.Psi,214,2256
Ajimat Ganda Damanik,Sari Endah Namaga M.TI.,215,2265
Ajimat Hidayanto,Eka Hartati,216,2279
Ajimat Jindra Maulana,Ulya Purwanti S.T.,217,2287
Ajimat Kurniawan,Juli Wahyuni,218,2297
Ajimat Latupono S.T.,Lili Nuraini M.Pd,219,2298
Ajimat Maryadi S.H.,Gilda Maryati S.E.I,220,2314
Ajimat Megantara,Victoria Devi Halimah S.IP,221,2321
Ajimat Mustofa,Rahmi Mayasari,222,2336
Ajimat Nababan,Aurora Suryatmi,223,2351
Ajimat Nashiruddin S.Farm,Tina Mala Astuti,224,2365
Ajimat Saragih,Amalia Febi Lailasari,225,2368
Ajimat Setiawan,Clara Maya Handayani S.Ked,226,2377
Ajimat Simanjuntak,Alika Susanti,227,2381
Ajimat Suwarno S.E.,Intan Juli Maryati M.Kom.,228,2382
Ajimat Wasita,Hana Andriani S.E.,229,2384
Ajimin Adriansyah,Tania Handayani,230,2385
Ajimin Hardiansyah,Maida Widiastuti,231,2393
Ajimin Hidayanto,Yulia Puti Nuraini M.Ak,232,2410
Ajimin Lazuardi,Vera Gina Anggraini M.M.,233,2422
Ajimin Maryadi,Widya Agnes Sudiati,234,2431
Ajimin Maryadi S.IP,Malika Wijayanti,235,2440
Ajimin Maulana,Yessi Salsabila Mayasari,236,2455
Ajimin Megantara,Jane Tiara Halimah,237,2468
Ajimin Mustofa,Jane Rahimah S.Ked,238,2480
Ajimin Napitupulu,Hesti Vanya Permata,239,2486
Ajimin Narpati,Ulva Icha Pratiwi,240,2494
Ajimin Nashiruddin,Cinta Zelda Kusmawati S.E.I,241,2498
Ajimin Nashiruddin S.Pt,Puspa Jelita Usada,242,2500
Ajimin Olga Narpati,Karen Agustina,243,2520
Ajimin Prasasta,Suci Zulaikha Padmasari S.Ked,244,2524
Ajimin Purwadi Uwais S.E.,Unjani Yolanda,245,2525
Ajimin Sitompul,Yunita Anggraini,246,2531
Ajimin Tarihoran,Tira Kusmawati S.Gz,247,2540
Ajimin Utama,Hani Laksita,248,2553
Ajimin Utama Waskita M.Pd,Aurora Pudjiastuti S.Psi,249,2554
Ajimin Wahyu Sihombing S.Gz,Unjani Purnawati,250,2559
Ajiono Adinata Anggriawan S.Pd,Kasiyah Tania Puspasari S.T.,251,2560
Ajiono Anggriawan,Fathonah Cornelia Nasyidah M.TI.,252,2570
Ajiono Anggriawan S.E.,Betania Rahayu,253,2575
Ajiono Ardianto M.Pd,Jessica Wijayanti M.Kom.,254,2586
Ajiono Budiyanto S.Gz,Titi Oliva Andriani,255,2595
Ajiono Dabukke,Mutia Citra Mardhiyah S.Pd,256,2596
Ajiono Damanik,Puput Wulandari,257,2600
Ajiono Hardiansyah,Samiah Prastuti,258,2614
Ajiono Hendra Mandala,Padmi Nurdiyanti S.H.,259,2616
Ajiono Kusumo M.M.,Ida Rahmi Wijayanti,260,2633
Ajiono Luwar Budiman,Dina Mulyani,261,2649
Ajiono Mahendra,Sadina Rahmi Kuswandari S.E.I,262,2654
Ajiono Mahesa Maheswara,Almira Rahayu,263,2665
Ajiono Mandala,Fitriani Yuniar,264,2673
Ajiono Permadi M.TI.,Amelia Padmasari,265,2675
Ajiono Prabu Napitupulu S.Kom,Zizi Hastuti,266,2693
Ajiono Ramadan,Zamira Hasanah S.Sos,267,2708
Ajiono Saptono,Yuni Farhunnisa Suartini M.Farm,268,2710
Ajiono Setiawan,Ani Lestari S.H.,269,2726
Ajiono Simbolon,Zalindra Nurdiyanti,270,2728
Ajiono Sirait S.Psi,Olivia Novitasari S.T.,271,2730
Ajiono Tampubolon,Oliva Mandasari,272,2733
Ajiono Thamrin,Tania Hariyah,273,2744
Ajiono Utama,Bella Astuti,274,2758
Ajiono Utama S.IP,Dinda Purnawati,275,2773
Ajiono Widodo S.Kom,Winda Palastri,276,2784
Akarsana Ade Haryanto,Kamaria Sudiati,277,2802
Akarsana Arta Mustofa S.H.,Maria Kuswandari,278,2810
Akarsana Bakiman Prakasa S.Pt,Cindy Melani S.Kom,279,2812
Akarsana Cahyanto Samosir S.H.,Violet Talia Palastri S.IP,280,2826
Akarsana Gunawan,Eva Mardhiyah,281,2833
Akarsana Haryanto,Dalima Utami,282,2834
Akarsana Hidayanto M.M.,Tania Jessica Agustina S.E.I,283,2842
Akarsana Hutagalung S.IP,Kania Rahimah S.I.Kom,284,2843
Akarsana Ismail Tarihoran,Hilda Suartini,285,2859
Akarsana Kayun Wijaya,Diana Puspasari,286,2873
Akarsana Kusumo,Diah Rahmi Usada S.Pd,287,2882
Akarsana Latif Uwais M.Pd,Endah Ayu Hassanah M.Kom.,288,2891
Akarsana Maheswara,Indah Winarsih,289,2894
Akarsana Maheswara S.Ked,Yulia Ana Usada,290,2906
Akarsana Maulana,Eli Ratna Wijayanti S.E.I,291,2914
Akarsana Prabawa Situmorang,Gasti Widiastuti,292,2928
Akarsana Prabowo,Intan Rahayu,293,2931
Akarsana Prakasa,Vanya Paramita Yuniar,294,2948
Akarsana Prasetya M.Pd,Chelsea Mulyani,295,2961
Akarsana Prasetya Sitompul S.T.,Intan Melani S.E.,296,2974
Akarsana Santoso,Elisa Anggraini,297,2975
Akarsana Setiawan,Umi Puspa Pertiwi,298,2989
Akarsana Tamba S.Pd,Kartika Farah Nuraini,299,3000
Akarsana Tirta Najmudin S.H.,Ella Suartini,300,3009
Akarsana Upik Winarno S.Kom,Vanesa Nasyiah S.Pt,301,3029
Akarsana Wibisono,Azalea Zulaika,302,3040
Akarsana Wibowo,Putri Nurul Nuraini,303,3043
Alambana Ajiman Gunawan S.Ked,Putri Raina Wijayanti M.M.,304,3056
Alambana Arta Mansur,Puti Lintang Widiastuti,305,3071
Alambana Cengkal Sirait,Calista Halimah,306,3083
Alambana Firgantoro,Ani Zulaika,307,3100
Alambana Firmansyah,Elisa Kasiyah Uyainah,308,3113
Alambana Gamani Saputra S.Psi,Ajeng Pertiwi,309,3116
Alambana Hardiansyah S.Farm,Clara Zulaika,310,3129
Alambana Haryanto M.TI.,Puti Yuliarti,311,3148
Alambana Kuswoyo,Amelia Yulianti,312,3155
Alambana Lazuardi,Intan Farida,313,3164
Alambana Mahendra,Uchita Lala Yolanda,314,3172
Alambana Mansur S.Gz,Anastasia Ani Wastuti S.Farm,315,3176
Alambana Manullang,Ade Yuliana Puspita,316,3193
Alambana Mustika Mangunsong,Dian Bella Wastuti S.Pt,317,3198
Alambana Najam Dabukke S.I.Kom,Hafshah Puspasari S.Psi,318,3210
Alambana Najmudin,Jane Icha Aryani S.Pt,319,3220
Alambana Nardi Gunawan M.TI.,Juli Hariyah,320,3221
Alambana Nardi Pradipta,Vera Lintang Pudjiastuti M.Pd,321,3232
Alambana Natsir,Intan Cindy Fujiati M.Ak,322,3233
Alambana Simanjuntak,Titin Yulianti,323,3251
Alambana Wasita,Titi Halimah,324,3264
Among Cahya Kurniawan M.M.,Mila Anastasia Winarsih M.Kom.,325,3280
Among Damanik,Usyi Farhunnisa Oktaviani,326,3291
Among Galar Pradipta S.E.I,Raina Indah Prastuti M.Pd,327,3304
Among Gangsa Hutasoit,Diah Hasanah,328,3315
Among Ghani Budiyanto,Nurul Wulan Novitasari,329,3318
Among Hendri Kusumo S.E.,Karimah Siska Padmasari S.Sos,330,3322
Among Hutagalung,Ulya Kezia Usamah,331,3338
Among Hutagalung S.Psi,Cinta Lidya Hariyah S.H.,332,3356
Among Hutapea,Gabriella Zalindra Nuraini S.IP,333,3375
Among Jailani,Puput Haryanti,334,3389
Among Johan Hutasoit M.TI.,Natalia Nasyidah,335,3404
Among Kuswoyo,Gabriella Permata M.M.,336,3421
Among Mustofa,Icha Padma Farida,337,3434
Among Mustofa S.Pd,Paulin Utami,338,3447
Among Narji Natsir,Puti Anggraini S.Pt,339,3452
Among Natsir,Yani Yulianti S.IP,340,3453
Among Pangestu S.Pt,Siti Hartati,341,3462
Among Pradana,Queen Pertiwi,342,3464
Among Prakasa S.H.,Amelia Laila Aryani,343,3474
Among Prakosa Kuswoyo,Halima Farida,344,3491
Among Ramadan S.H.,Nurul Purwanti,345,3507
Among Santoso M.Ak,Juli Winda Laksita M.Pd,346,3525
Among Sihombing,Maimunah Sudiati,347,3531
Among Siregar S.Farm,Chelsea Oktaviani,348,3534
Among Zulkarnain,Icha Hilda Handayani S.Gz,349,3543
Anggabaya Candra Sihombing,Puji Melinda Purnawati S.Kom,350,3556
Anggabaya Ian Kusumo M.M.,Rini Dian Lestari,351,3560
Anggabaya Jaka Mustofa M.M.,Hani Jelita Nasyidah,352,3562
Anggabaya Jati Hardiansyah,Ade Aryani,353,3577
Anggabaya Lazuardi,Salimah Yulia Yuniar,354,3592
Anggabaya Narpati,Unjani Yuniar,355,3600
Anggabaya Nasab Saragih S.Psi,Karimah Wahyuni,356,3603
Anggabaya Natsir,Kayla Lestari,357,3620
Anggabaya Natsir S.Kom,Lala Laksita,358,3630
Anggabaya Opung Latupono,Novi Wulandari,359,3633
Anggabaya Permadi S.Gz,Wulan Nurdiyanti M.Kom.,360,3653
Anggabaya Pranowo,Calista Hasanah M.M.,361,3671
Anggabaya Prasasta M.Farm,Cindy Yuliarti,362,3675
Anggabaya Prima Narpati M.M.,Unjani Raina Yolanda,363,3680
Anggabaya Samosir,Yance Kasiyah Mulyani,364,3699
Anggabaya Setiawan,Ulva Farida,365,3714
Anggabaya Sihombing M.Farm,Gabriella Mala Permata M.TI.,366,3733
Anggabaya Siregar,Zizi Zelaya Yulianti,367,3737
Anom Gatot Sihombing,Rachel Namaga,368,3755
Anom Gunawan S.I.Kom,Rahayu Nasyidah,369,3763
Anom Hidayanto,Iriana Anggraini,370,3782
Anom Hidayanto M.TI.,Siti Devi Fujiati,371,3787
Anom Hidayat,Ellis Yulianti S.Pd,372,3798
Anom Januar,Tiara Wani Purwanti S.I.Kom,373,3814
Anom Jumadi Suwarno,Tira Laksita S.E.I,374,3823
Anom Lazuardi,Ifa Nasyidah,375,3825
Anom Mandala,Ika Olivia Puspasari M.M.,376,3829
Anom Nababan,Puspa Puspa Lestari S.E.I,377,3834
Anom Napitupulu,Salimah Nuraini,378,3843
Anom Nyoman Prasetyo,Karen Samiah Permata S.Pd,379,3850
Anom Oman Narpati,Hilda Nuraini,380,3857
Anom Respati Mangunsong S.H.,Tania Purwanti,381,3861
Anom Saragih,Nabila Hassanah,382,3864
Anom Setiawan,Salimah Namaga,383,3871
Anom Tasdik Irawan M.Ak,Halima Ilsa Astuti,384,3874
Argono Anggabaya Gunarto,Zamira Mulyani S.IP,385,3888
Argono Arsipatra Utama S.Pt,Yulia Suartini,386,3890
Argono Asirwada Damanik,Dinda Olivia Kusmawati,387,3907
Argono Budiyanto,Oni Mayasari,388,3925
Argono Hakim,Salwa Mila Purwanti S.Pt,389,3937
Argono Hutagalung,Vanya Nuraini S.H.,390,3945
Argono Hutapea S.IP,Wulan Rahmawati M.M.,391,3949
Argono Ilyas Sihotang,Betania Chelsea Wulandari,392,3952
Argono Karta Tampubolon,Ilsa Rahmawati,393,3963
Argono Lulut Natsir M.Farm,Maria Devi Usada,394,3966
Argono Lurhur Januar M.Pd,Janet Permata,395,3969
Argono Mahendra,Shania Karimah Aryani M.Kom.,396,3985
Argono Marpaung,Hafshah Ida Fujiati S.E.I,397,3990
Argono Permadi,Clara Lestari,398,4009
Argono Prabu Prabowo,Kania Purwanti S.T.,399,4015
Argono Respati Prasetyo,Kiandra Permata,400,4025
Argono Situmorang,Mala Mandasari,401,4030
Argono Suwarno,Genta Ika Wulandari,402,4042
Argono Winarno,Dina Namaga M.M.,403,4061
Argono Yahya Putra M.TI.,Rahayu Yolanda,404,4069
Aris Dacin Marpaung S.Kom,Yani Mulyani,405,4088
Aris Gunarto S.Pt,Dewi Purnawati M.TI.,406,4092
Aris Habibi,Victoria Winarsih,407,4103
Aris Haryanto,Pia Hasanah,408,4113
Aris Jasmani Adriansyah S.IP,Amalia Mardhiyah,409,4119
Aris Lasmono Halim,Paulin Lestari M.TI.,410,4125
Aris Mansur,Nadine Almira Usamah,411,4128
Aris Nainggolan,Farah Umi Purwanti,412,4134
Aris Permadi,Sadina Pertiwi M.Farm,413,4139
Aris Prabowo,Vivi Palastri,414,4158
Aris Setya Adriansyah S.I.Kom,Gilda Purnawati,415,4178
Arsipatra Arsipatra Wasita M.Farm,Farah Anggraini,416,4183
Arsipatra Bakti Simanjuntak,Devi Pudjiastuti S.Farm,417,4195
Arsipatra Gandewa Prasasta,Agnes Handayani S.H.,418,4205
Arsipatra Gandi Thamrin M.Kom.,Ghaliyati Rahayu M.M.,419,4217
Arsipatra Gandi Wijaya,Usyi Suartini S.E.I,420,4224
Arsipatra Irawan,Puput Haryanti S.Psi,421,4241
Arsipatra Iswahyudi,Melinda Hartati,422,4254
Arsipatra Kusuma Habibi,Zizi Sudiati,423,4271
Arsipatra Latupono,Tiara Novitasari,424,4289
Arsipatra Luluh Jailani S.Farm,Ajeng Permata,425,4301
Arsipatra Mahendra,Puspa Laksita,426,4303
Arsipatra Pradipta,Gasti Maria Halimah,427,4318
Arsipatra Rajasa,Putri Pertiwi,428,4332
Arsipatra Rusman Maryadi,Sabrina Kartika Namaga M.Kom.,429,4349
Arsipatra Saragih,Winda Diana Yolanda,430,4356
Arsipatra Tampubolon,Ana Restu Purnawati S.Pt,431,4357
Arsipatra Tampubolon S.T.,Nadia Rahayu,432,4362
Arsipatra Wage Nainggolan,Silvia Salsabila Hariyah S.Gz,433,4375
Arsipatra Widodo S.E.I,Ani Halima Mulyani,434,4389
Arsipatra Wira Suwarno,Lili Pertiwi,435,4394
Arta Adinata Sitompul,Nadine Susanti,436,4413
Arta Bajragin Prasetyo,Zelaya Yuliarti,437,4428
Arta Galuh Mahendra S.E.I,Almira Lestari S.Pt,438,4430
Arta Ghani Permadi S.Farm,Nilam Riyanti,439,4440
Arta Hidayat,Siska Halimah M.TI.,440,4450
Arta Hutasoit,Kiandra Cici Farida M.Kom.,441,4456
Arta Kurniawan,Puji Mulyani S.Ked,442,4457
Arta Mahendra,Winda Suartini S.Farm,443,4470
Arta Marbun M.Kom.,Gasti Padmasari,444,4485
Arta Marpaung S.T.,Gasti Prastuti,445,4487
Arta Maryadi,Ira Raisa Yuliarti,446,4496
Arta Maryadi S.I.Kom,Lidya Titin Rahmawati,447,4513
Arta Mustika Thamrin M.Kom.,Ira Halimah,448,4525
Arta Mustofa,Nadia Rahmawati S.Pd,449,4545
Arta Nainggolan,Vicky Namaga S.Psi,450,4546
Arta Napitupulu,Lili Yani Novitasari S.Gz,451,4564
Arta Opan Zulkarnain S.Ked,Pia Unjani Hassanah S.Kom,452,4576
Arta Pangeran Pratama,Ciaobella Rahmawati,453,4596
